Nome produto;Culturas registradas;Doenças, pragas e plantas daninhas controladas;Dose recomendada;Volume calda;Classe;Empresa;Pais
OBERON;Abacate (Persea americana);Ácaro-das-flores (Tegolophus perseaflorae);0,5 - 0,6 L/ha ;500 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Abacaxi (Ananas comosus);Ácaro-alaranjado (Dolichotetranychus floridanus);0,5 - 0,6 L/ha ;500 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Mamão (Carica papaya);Ácaro-rajado (Tetranychus urticae);0,5 - 0,6 L/ha ;500 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Manga (Mangifera indica);Ácaro (Oligonychus spp.);0,5 - 0,6 L/ha ;500 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Manga (Mangifera indica);Ácaro-branco (Polyphagotarsonemus latus);0,5 - 0,6 L/ha ;500 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Maracujá (Passiflora edulis);Ácaro-branco (Polyphagotarsonemus latus);0,5 - 0,6 L/ha ;500 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Maracujá (Passiflora edulis);Ácaro-plano (Brevipalpus phoenicis);0,5 - 0,6 L/ha ;500 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Maracujá (Passiflora edulis);Ácaro-vermelho (Tetranychus evansi);0,5 - 0,6 L/ha ;500 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Maracujá (Passiflora edulis);Ácaro-vermelho (Tetranychus ludeni);0,5 - 0,6 L/ha ;500 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Abóbora (Cucurbita moschata);Ácaro-branco (Polyphagotarsonemus latus);0,5 - 0,6 L/ha ;300 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Abobrinha (Cucurbita pepo);Ácaro-branco (Polyphagotarsonemus latus);0,5 - 0,6 L/ha ;300 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Chuchu (Sechium edule);Ácaro-branco (Polyphagotarsonemus latus);0,5 - 0,6 L/ha ;300 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Maxixe (Cucumis anguria);Ácaro-rajado (Tetranychus urticae);0,5 - 0,6 L/ha ;300 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Açaí (Euterpe oleracea);Ácaro-plano (Brevipalpus phoenicis);0,4 - 0,6 L/ha ;400 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Dendê (Elaeis guineensis);Ácaro-plano (Brevipalpus phoenicis);0,4 - 0,6 L/ha ;400 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Figo (Ficus carica);Ácaro-plano (Brevipalpus phoenicis);0,4 - 0,6 L/ha ;400 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Pupunha (Bactris gasipaes);Ácaro-plano (Brevipalpus phoenicis);0,4 - 0,6 L/ha ;400 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Algodão (Gossypium hirsutum);Ácaro-branco (Polyphagotarsonemus latus);0,5 - 0,6 L/ha ;Terrestre: 100 - 300 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Algodão (Gossypium hirsutum);Ácaro-branco (Polyphagotarsonemus latus);0,5 - 0,6 L/ha ;Aérea: 30 - 50 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Algodão (Gossypium hirsutum);Ácaro-rajado (Tetranychus urticae);0,5 - 0,6 L/ha ;Terrestre: 100 - 300 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Algodão (Gossypium hirsutum);Ácaro-rajado (Tetranychus urticae);0,5 - 0,6 L/ha ;Aérea: 30 - 50 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Plantas ornamentais (diversas espécies);Ácaro do bronzeado (Atrichoproctus neocalendonicus);0,5 - 0,6 L/ha ;500 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
